Parcel Number,Name,Address,Sale Date,Sale Price
582-0003-0176-00,"890 KIELEY PLACE LLC ",890 898 KIELEY AVE,4/25/2018,
582-0003-0120-00,"890 KIELEY PLACE LLC ",KIELEY PL,10/5/2010,"$170,000"
582-0003-0134-00,"RICHTER REALTY COMPANY THE ",KIELEY PL,4/9/2010,$0
582-0003-0137-00,"RICHTER REALTY COMPANY ",KIELEY PL,4/1/1986,$0
582-0003-0139-00,"890 KIELEY PLACE LLC ",KIELEY PL,10/5/2010,"$170,000"
582-0003-0142-00,"RICHTER REALTY COMPANY ",KIELEY PL,4/1/1986,$0
582-0003-0150-90,"ST BERNARD CITY OF THE ",KIELEY PL,1/1/1970,$0
582-0003-0169-00,"RICHTER REALTY COMPANY THE ",KIELEY PL,4/9/2010,$0
582-0003-0170-00,"890 KIELEY PLACE LLC ",KIELEY PL,4/9/2010,$0
582-0003-0119-00,"890 KIELEY PLACE LLC ",890 898 KIELEY PL,4/9/2010,$0
582-0003-0135-00,"KIELEY PLACE LIMITED PARTNERSHIP ",900 KIELEY PL,6/16/2000,"$111,800"
582-0003-0138-00,"KIELEY PLACE LIMITED PARTNERSHIP ",900 KIELEY PL,6/16/2000,"$111,800"
582-0003-0157-00,"KIELEY PLACE LIMITED PARTNERSHIP ",900 KIELEY PL,6/16/2000,"$111,800"
582-0003-0158-00,"900 KIELEY PLACE LLC ",900 KIELEY PL,4/13/2010,$0
582-0003-0001-00,"ST BERNARD WAREHOUSE LLC ",1000 KIELEY PL,3/16/2005,"$1,600,000"
582-0003-0110-00,"KIELEY PLACE LIMITED PARTNERSHIP ",5129 KIELEY PL,6/16/2000,"$111,800"
582-0003-0118-00,SHEEHAN CAPITAL HOLDINGS LLC,5139 KIELEY PL,5/1/2017,"$1,175,000"
582-0003-0121-00,"RICHTER REALTY COMPANY ",5152 KIELEY PL,4/1/1986,$0
582-0003-0140-00,"890 KIELEY PLACE LLC ",5160 KIELEY PL,12/31/2001,$0
582-0003-0153-00,"890 KIELEY PLACE LLC ",5160 KIELEY PL,12/31/2001,$0
582-0003-0159-00,"890 KIELEY PLACE LLC ",5160 KIELEY PL,12/31/2001,$0
