Parcel Number,Name,Address,Sale Date,Sale Price
146-0005-0012-90,"CINCINNATI CITY OF ",629 KENYON ST,1/1/1970,$0
146-0005-0011-90,"CINCINNATI CITY OF ",631 KENYON ST,1/1/1970,$0
146-0005-0010-90,"CINCINNATI CITY OF ",635 KENYON ST,1/1/1970,$0
146-0005-0009-90,"CINCINNATI CITY OF ",637 KENYON ST,1/1/1970,$0
146-0005-0008-90,"CINCINNATI CITY OF ",639 KENYON ST,1/1/1970,$0
146-0005-0007-90,"CINCINNATI CITY OF ",641 KENYON ST,1/1/1970,$0
146-0005-0006-90,"CINCINNATI CITY OF ",645 KENYON ST,1/1/1970,$0
146-0005-0005-90,"CINCINNATI CITY OF ",647 KENYON ST,1/1/1970,$0
146-0005-0004-90,"CINCINNATI CITY OF ",649 KENYON ST,1/1/1970,$0
146-0005-0003-90,"CINCINNATI CITY OF ",651 KENYON ST,1/1/1970,$0
146-0005-0002-90,"CINCINNATI CITY OF ",653 KENYON ST,1/1/1970,$0
136-0004-0125-90,"CINCINNATI CITY OF ",701 KENYON ST,1/1/1970,$0
136-0003-0183-90,"CINCINNATI CITY OF ",702 KENYON ST,1/1/1970,$0
136-0004-0124-90,"CINCINNATI CITY OF ",703 KENYON ST,1/1/1970,$0
136-0004-0123-90,"CINCINNATI CITY OF ",705 KENYON ST,1/1/1970,$0
136-0004-0122-90,"CINCINNATI CITY OF ",707 KENYON ST,1/1/1970,$0
136-0004-0121-90,"CINCINNATI CITY OF ",709 KENYON ST,1/1/1970,$0
136-0004-0120-90,"CINCINNATI CITY OF ",711 KENYON ST,1/1/1970,$0
136-0004-0119-90,"CINCINNATI CITY OF ",715 KENYON ST,1/1/1970,$0
136-0004-0118-90,"CINCINNATI CITY OF ",719 KENYON ST,1/1/1970,$0
136-0004-0117-90,"CINCINNATI CITY OF ",721 KENYON ST,1/1/1970,$0
136-0004-0115-90,"CINCINNATI CITY OF ",723 KENYON ST,1/1/1970,$0
136-0004-0116-90,"CINCINNATI CITY OF ",723 KENYON ST,1/1/1970,$0
136-0004-0114-90,"CINCINNATI CITY OF ",727 KENYON ST,1/1/1970,$0
136-0004-0113-90,"CINCINNATI CITY OF ",729 KENYON ST,1/1/1970,$0
136-0004-0112-90,"CINCINNATI CITY OF ",731 KENYON ST,1/1/1970,$0
136-0004-0111-90,"CINCINNATI CITY OF ",733 KENYON ST,1/1/1970,$0
136-0004-0110-90,"CINCINNATI CITY OF ",735 KENYON ST,1/1/1970,$0
136-0004-0109-90,"CINCINNATI CITY OF ",737 KENYON ST,1/1/1970,$0
136-0004-0108-90,"CINCINNATI CITY OF ",739 KENYON ST,1/1/1970,$0
136-0004-0107-90,"CINCINNATI CITY OF ",743 KENYON ST,1/1/1970,$0
136-0004-0106-90,"CINCINNATI CITY OF ",745 KENYON ST,1/1/1970,$0
136-0004-0105-90,"CINCINNATI CITY OF ",747 KENYON ST,1/1/1970,$0
136-0004-0104-90,"CINCINNATI CITY OF ",749 KENYON ST,1/1/1970,$0
136-0004-0221-90,"CINCINNATI CITY OF ",751 KENYON ST,1/1/1970,$0
136-0004-0102-90,"CINCINNATI CITY OF ",753 KENYON ST,1/1/1970,$0
136-0004-0048-90,"STATE OF OHIO ",755 KENYON ST,1/1/1970,$0
136-0004-0047-90,"STATE OF OHIO ",767 KENYON ST,1/1/1970,$0
136-0004-0046-90,"STATE OF OHIO ",771 KENYON ST,1/1/1970,$0
136-0004-0045-90,"STATE OF OHIO ",775 KENYON ST,1/1/1970,$0
136-0004-0020-90,"STATE OF OHIO ",801 KENYON ST,1/1/1970,$0
136-0004-0019-90,"STATE OF OHIO ",805 KENYON ST,1/1/1970,$0
136-0004-0018-90,"STATE OF OHIO ",807 KENYON ST,1/1/1970,$0
136-0004-0017-90,"STATE OF OHIO ",809 KENYON ST,1/1/1970,$0
136-0004-0016-90,"STATE OF OHIO ",811 KENYON ST,1/1/1970,$0
136-0004-0015-90,"STATE OF OHIO ",813 KENYON ST,1/1/1970,$0
136-0004-0014-90,"STATE OF OHIO ",815 KENYON ST,1/1/1970,$0
136-0004-0013-90,"STATE OF OHIO ",817 KENYON ST,1/1/1970,$0
136-0004-0012-90,"STATE OF OHIO ",819 KENYON ST,1/1/1970,$0
136-0004-0011-90,"STATE OF OHIO ",821 KENYON ST,1/1/1970,$0
136-0004-0010-90,"STATE OF OHIO ",823 KENYON ST,1/1/1970,$0
136-0004-0009-90,"STATE OF OHIO ",825 KENYON ST,1/1/1970,$0
136-0004-0008-90,"STATE OF OHIO ",827 KENYON ST,1/1/1970,$0
136-0004-0007-90,"STATE OF OHIO ",829 KENYON ST,1/1/1970,$0
136-0004-0006-90,"STATE OF OHIO ",831 KENYON ST,1/1/1970,$0
136-0001-0198-90,"CINCINNATI CITY OF ",832 KENYON ST,1/1/1970,$0
136-0004-0005-90,"STATE OF OHIO ",833 KENYON ST,1/1/1970,$0
136-0001-0199-90,"CINCINNATI CITY OF ",834 KENYON ST,1/1/1970,$0
136-0001-0200-90,"CINCINNATI CITY OF ",836 KENYON ST,1/1/1970,$0
136-0004-0003-90,"STATE OF OHIO ",837 KENYON ST,1/1/1970,$0
136-0004-0002-90,"CINCINNATI CITY OF ",839 KENYON ST,1/1/1970,$0
136-0004-0004-90,"STATE OF OHIO ",841 KENYON ST,1/1/1970,$0
136-0001-0202-90,"CINCINNATI CITY OF ",844 KENYON ST,1/1/1970,$0
136-0004-0001-90,"STATE OF OHIO ",847 KENYON ST,1/1/1970,$0
